group,lever,factor,baseline_T,counterfactual_T,delta_T,delta_T_pct,baseline_margin,counterfactual_margin,delta_margin,baseline_P_D,counterfactual_P_D,delta_P_D
Other Civilizations,d,0.9,59354.84839260868,66077.98700280162,6723.138610192938,11.327025158453871,57285.87869563898,64009.01730583192,6723.138610192938,22320.14829792034,27088.759927762505,4768.611629842166
Other Civilizations,d,0.95,59354.84839260868,62530.22838812003,3175.37999551135,5.349824119686864,57285.87869563898,60461.25869115033,3175.37999551135,22320.14829792034,24542.49914030056,2222.3508423802195
Other Civilizations,d,1.05,59354.84839260868,56496.57328449772,-2858.27510811096,-4.815571407418327,57285.87869563898,54427.60358752802,-2858.27510811096,22320.14829792034,20369.776360372627,-1950.3719375477122
Other Civilizations,d,1.1,59354.84839260868,53910.436701838604,-5444.411690770074,-9.172648634796367,57285.87869563898,51841.46700486891,-5444.411690770074,22320.14829792034,18649.465660368245,-3670.682637552094
Other Civilizations,d,1.2,59354.84839260868,49413.16668910405,-9941.681703504626,-16.749569702788833,57285.87869563898,47344.196992134355,-9941.681703504626,22320.14829792034,15768.52303753819,-6551.625260382149
Other Western,alpha,0.9,4824.24697299595,4899.055579271984,74.80860627603397,1.5506794468604161,3223.0295816916023,3297.8381879676363,74.80860627603397,2158.3497429579397,2167.5323191525245,9.182576194584726
Other Western,alpha,0.95,4824.24697299595,4861.112348004817,36.86537500886698,0.7641684850552514,3223.0295816916023,3259.8949567004693,36.86537500886698,2158.3497429579397,2162.874878925742,4.525135967802271
Other Western,alpha,1.05,4824.24697299595,4788.414169334203,-35.832803661747676,-0.7427647021871854,3223.0295816916023,3187.1967780298546,-35.832803661747676,2158.3497429579397,2153.951352635369,-4.398390322570776
Other Western,alpha,1.1,4824.24697299595,4753.571153864645,-70.67581913130562,-1.4650124574243049,3223.0295816916023,3152.3537625602967,-70.67581913130562,2158.3497429579397,2149.674456428832,-8.67528652910778
Other Western,alpha,1.2,4824.24697299595,4686.694854958702,-137.55211803724796,-2.851266089966067,3223.0295816916023,3085.4774636543543,-137.55211803724796,2158.3497429579397,2141.4655518537397,-16.8841911042
Other Western,beta,0.9,4824.24697299595,4777.434498057364,-46.81247493858609,-0.9703581761178915,3223.0295816916023,3176.217106753016,-46.81247493858609,2158.3497429579397,2131.3665077292085,-26.983235228731246
Other Western,beta,0.95,4824.24697299595,4801.407733968084,-22.839239027865915,-0.47342599074446445,3223.0295816916023,3200.1903426637364,-22.839239027865915,2158.3497429579397,2145.3172697876216,-13.032473170318099
Other Western,beta,1.05,4824.24697299595,4846.032138091554,21.78516509560359,0.45157648888101143,3223.0295816916023,3244.814746787206,21.78516509560359,2158.3497429579397,2170.5370012135677,12.187258255627967
Other Western,beta,1.1,4824.24697299595,4866.835785536406,42.588812540455365,0.8828074677529806,3223.0295816916023,3265.6183942320577,42.588812540455365,2158.3497429579397,2181.945037900161,23.595294942221244
Other Western,beta,1.2,4824.24697299595,4905.756791721731,81.50981872578086,1.6895863578717591,3223.0295816916023,3304.539400417383,81.50981872578086,2158.3497429579397,2202.6568016498118,44.307058691872044
Other Western,h_D,0.9,4824.24697299595,4772.461403035193,-51.78556996075713,-1.0734435913134293,3223.0295816916023,3171.244011730845,-51.78556996075713,2158.3497429579397,2096.662676471297,-61.687066486642834
Other Western,h_D,0.95,4824.24697299595,4798.998141129963,-25.248831865987086,-0.5233735338866177,3223.0295816916023,3197.780749825615,-25.248831865987086,2158.3497429579397,2128.273287852638,-30.076455105301648
Other Western,h_D,1.05,4824.24697299595,4848.299436175819,24.052463179868937,0.49857445762010594,3223.0295816916023,3247.082044871471,24.052463179868937,2158.3497429579397,2187.001081476921,28.651338518981447
Other Western,h_D,1.1,4824.24697299595,4871.23859430184,46.991621305889566,0.9740716337477818,3223.0295816916023,3270.021202997492,46.991621305889566,2158.3497429579397,2214.326248961603,55.97650600366342
Other Western,h_D,1.2,4824.24697299595,4914.072503512269,89.8255305163184,1.8619596181356985,3223.0295816916023,3312.8551122079207,89.8255305163184,2158.3497429579397,2265.3500806457755,107.00033768783578
Other Western,h_A,0.9,4824.24697299595,4820.3499771910665,-3.8969958048837725,-0.08077935948755259,3223.0295816916023,3219.1325858867185,-3.8969958048837725,2158.3497429579397,2148.388038759772,-9.961704198167808
Other Western,h_A,0.95,4824.24697299595,4822.370420663086,-1.8765523328638665,-0.03889834710718575,3223.0295816916023,3221.1530293587384,-1.8765523328638665,2158.3497429579397,2153.5528018811906,-4.796941076749135
Other Western,h_A,1.05,4824.24697299595,4825.994477026849,1.7475040308991083,0.036223353420355146,3223.0295816916023,3224.7770857225014,1.7475040308991083,2158.3497429579397,2162.816804025627,4.467061067687155
Other Western,h_A,1.1,4824.24697299595,4827.625802004665,3.3788290087150017,0.07003847497087579,3223.0295816916023,3226.4084107003173,3.3788290087150017,2158.3497429579397,2166.9868821303326,8.637139172392835
Other Western,h_A,1.2,4824.24697299595,4830.583369310525,6.336396314574813,0.13134477463619132,3223.0295816916023,3229.365978006177,6.336396314574813,2158.3497429579397,2174.547170137372,16.197427179432452
Other Western,p_D,0.9,4824.24697299595,4824.246972995952,1.8189894035458565e-12,3.770514680794273e-14,3223.0295816916023,3223.029581691604,1.8189894035458565e-12,2158.3497429579397,2077.6067557520096,-80.74298720593015
Other Western,p_D,0.95,4824.24697299595,4824.24697299595,0.0,0.0,3223.0295816916023,3223.0295816916023,0.0,2158.3497429579397,2119.1769505466027,-39.172792411337014
Other Western,p_D,1.05,4824.24697299595,4824.246972995949,-9.094947017729282e-13,-1.8852573403971366e-14,3223.0295816916023,3223.0295816916014,-9.094947017729282e-13,2158.3497429579397,2195.3267118924196,36.97696893447983
Other Western,p_D,1.1,4824.24697299595,4824.24697299595,0.0,0.0,3223.0295816916023,3223.0295816916023,0.0,2158.3497429579397,2230.287453442662,71.93771048472217
Other Western,p_D,1.2,4824.24697299595,4824.246972995949,-9.094947017729282e-13,-1.8852573403971366e-14,3223.0295816916023,3223.0295816916014,-9.094947017729282e-13,2158.3497429579397,2294.7857747245507,136.436031766611
Other Western,p_A,0.9,4824.24697299595,4824.24697299595,0.0,0.0,3223.0295816916023,3223.0295816916023,0.0,2158.3497429579397,2151.2408054199327,-7.108937538007012
Other Western,p_A,0.95,4824.24697299595,4824.246972995951,9.094947017729282e-13,1.8852573403971366e-14,3223.0295816916023,3223.029581691603,9.094947017729282e-13,2158.3497429579397,2154.8977915708797,-3.451951387060035
Other Western,p_A,1.05,4824.24697299595,4824.246972995948,-1.8189894035458565e-12,-3.770514680794273e-14,3223.0295816916023,3223.0295816916005,-1.8189894035458565e-12,2158.3497429579397,2161.6134327749805,3.263689817040813
Other Western,p_A,1.1,4824.24697299595,4824.24697299595,0.0,0.0,3223.0295816916023,3223.0295816916023,0.0,2158.3497429579397,2164.703853237509,6.3541102795693405
Other Western,p_A,1.2,4824.24697299595,4824.246972995948,-1.8189894035458565e-12,-3.770514680794273e-14,3223.0295816916023,3223.0295816916005,-1.8189894035458565e-12,2158.3497429579397,2170.4172968511675,12.067553893227796
Other Western,d,0.9,4824.24697299595,5391.540624121091,567.293651125141,11.759216605215398,3223.0295816916023,3790.3232328167433,567.293651125141,2158.3497429579397,2595.2735843947303,436.92384143679055
Other Western,d,0.95,4824.24697299595,5092.058573527649,267.8116005316988,5.551365882194514,3223.0295816916023,3490.841182223301,267.8116005316988,2158.3497429579397,2362.5083853131,204.15864235516028
Other Western,d,1.05,4824.24697299595,4583.4256686544395,-240.82130434151077,-4.991894189694772,3223.0295816916023,2982.2082773500915,-240.82130434151077,2158.3497429579397,1978.3197399211415,-180.03000303679823
Other Western,d,1.1,4824.24697299595,4365.78149091315,-458.4654820828,-9.503358444314555,3223.0295816916023,2764.5640996088023,-458.4654820828,2158.3497429579397,1818.7903189071405,-339.5594240507992
