rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,period
I0,2766.5833333480173,188107.36502992178,0.9999999999999942,Islamic,domestic_active,2254.7179487179487,late
h_D,0.05934888824867222,186876.2608483623,0.33898642236718757,Islamic,domestic_active,2254.7179487179487,late
p_D,0.0837453130027528,186649.7800608144,0.2173826800644977,Islamic,domestic_active,2254.7179487179487,late
beta,0.04095592796408276,186477.84974716167,0.12506858233545037,Islamic,domestic_active,2254.7179487179487,late
h_A,0.1110114352107629,186301.66521191216,0.030470276429828674,Islamic,domestic_active,2254.7179487179487,late
p_A,0.07590736947044102,186265.66664538204,0.01114165939793374,Islamic,domestic_active,2254.7179487179487,late
alpha,0.026578478677361423,186028.96365333165,-0.11595066467606527,Islamic,domestic_active,2254.7179487179487,late
d,0.026780975199419344,181510.88725765678,-2.5418297146036175,Islamic,domestic_active,2254.7179487179487,late
r,0.026532535515571,105324.59733723827,1.010101010090182,Islamic,domestic_PIs,571.0,late
I0,2766.5833333480173,105314.06487751582,0.9999999999999816,Islamic,domestic_PIs,571.0,late
h_D,0.05934888824867222,104851.71228786034,0.5565871319323178,Islamic,domestic_PIs,571.0,late
p_D,0.0837453130027528,104724.68708014801,0.4347653601313098,Islamic,domestic_PIs,571.0,late
beta,0.04095592796408276,104405.01753952722,0.12819070041942743,Islamic,domestic_PIs,571.0,late
h_A,0.1110114352107629,104326.8572706939,0.05323217364195675,Islamic,domestic_PIs,571.0,late
p_A,0.07590736947044102,104294.58648151437,0.022283318795995124,Islamic,domestic_PIs,571.0,late
alpha,0.026578478677361423,104213.3351823195,-0.05563961797628423,Islamic,domestic_PIs,571.0,late
d,0.026780975199419344,101079.67426934306,-3.060933854588663,Islamic,domestic_PIs,571.0,late
r,0.12901451363450178,25304.951732491656,1.0101010101003716,Japanese,domestic_active,1792.6470588235293,late
I0,714.2500000002218,25302.421237318562,0.9999999999999806,Japanese,domestic_active,1792.6470588235293,late
h_D,0.039242974568596885,25186.90138990859,0.5388779406138762,Japanese,domestic_active,1792.6470588235293,late
p_D,0.036847051910514676,25177.966621309643,0.5032129099818333,Japanese,domestic_active,1792.6470588235293,late
beta,0.025143162722624974,25091.862667124533,0.15951064958828662,Japanese,domestic_active,1792.6470588235293,late
h_A,0.09241446021872922,25066.35667526323,0.05769805411255306,Japanese,domestic_active,1792.6470588235293,late
p_A,0.06601854281397725,25060.32479868707,0.03362053487129271,Japanese,domestic_active,1792.6470588235293,late
alpha,0.025539562607202998,25007.76304416406,-0.17619089609935418,Japanese,domestic_active,1792.6470588235293,late
d,0.048250975832396216,24297.269728637035,-3.0122761938332734,Japanese,domestic_active,1792.6470588235293,late
r,0.12901451363450178,5592.120034714294,1.0101010101003638,Japanese,domestic_PIs,424.0,late
p_D,0.036847051910514676,5591.916568880803,1.0064258199639926,Japanese,domestic_PIs,424.0,late
I0,714.2500000002218,5591.560822710858,0.9999999999999903,Japanese,domestic_PIs,424.0,late
h_D,0.039242974568596885,5588.621926561148,0.9469149097126635,Japanese,domestic_PIs,424.0,late
beta,0.025143162722624974,5547.585688653081,0.2056800094535637,Japanese,domestic_PIs,424.0,late
h_A,0.09241446021872922,5542.191483166996,0.10824482608190301,Japanese,domestic_PIs,424.0,late
p_A,0.06601854281397725,5539.921433686492,0.06724106974258681,Japanese,domestic_PIs,424.0,late
alpha,0.025539562607202998,5532.785004146386,-0.06166379356912099,Japanese,domestic_PIs,424.0,late
d,0.048250975832396216,5307.859108300555,-4.124485642552465,Japanese,domestic_PIs,424.0,late
r,0.05333817209771041,92858.99266704835,1.0101010100980963,Other Civilizations,domestic_active,2068.969696969697,late
I0,1941.8333333360858,92849.70676778432,0.9999999999999858,Other Civilizations,domestic_active,2068.969696969697,late
h_D,0.04726540350479085,92344.2479846751,0.45017233902836906,Other Civilizations,domestic_active,2068.969696969697,late
p_D,0.060537482957971074,92234.24271489299,0.33051087067521406,Other Civilizations,domestic_active,2068.969696969697,late
beta,0.034606389431491254,92082.84447387696,0.165822980159183,Other Civilizations,domestic_active,2068.969696969697,late
h_A,0.08558934762941846,91980.0399786368,0.05399436614725155,Other Civilizations,domestic_active,2068.969696969697,late
p_A,0.07073629460534016,91949.66335296584,0.0209512979505959,Other Civilizations,domestic_active,2068.969696969697,late
alpha,0.030489944575906532,91773.87651771822,-0.17026600340732265,Other Civilizations,domestic_active,2068.969696969697,late
d,0.036105425047323406,89384.54381428135,-2.7693329412347945,Other Civilizations,domestic_active,2068.969696969697,late
r,0.05333817209771041,36773.81009330035,1.010101010098109,Other Civilizations,domestic_PIs,494.0,late
I0,1941.8333333360858,36770.13271229208,0.9999999999999997,Other Civilizations,domestic_PIs,494.0,late
h_D,0.04726540350479085,36679.24512390763,0.7503504679013511,Other Civilizations,domestic_PIs,494.0,late
p_D,0.060537482957971074,36646.72404340997,0.6610217413513493,Other Civilizations,domestic_PIs,494.0,late
beta,0.034606389431491254,36472.49158885575,0.182440985397384,Other Civilizations,domestic_PIs,494.0,late
h_A,0.08558934762941846,36441.135483647515,0.09631220661891579,Other Civilizations,domestic_PIs,494.0,late
p_A,0.07073629460534016,36421.32708159887,0.041902595901246245,Other Civilizations,domestic_PIs,494.0,late
alpha,0.030489944575906532,36378.23175450168,-0.07647141353934599,Other Civilizations,domestic_PIs,494.0,late
d,0.036105425047323406,35114.01788009918,-3.5490071890756627,Other Civilizations,domestic_PIs,494.0,late
